NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
MACAPA;AP;;;26;1;;G;7;A;A;18;5;5;5;5;5;
MACAPA;AP;;;16;3;;C;10;A;A;;;;;;;
PORTO GRANDE;AP;;;15;3;;E;3;A;A;;;;;;;
SANTANA;AP;;;15;3;;B;6;A;A;;;;;;;
SANTANA;AP;;;19;1;;J;4;A;A;;;;;;;
MACAPA;AP;;;53;1;;B;4;E;A;19;0;5;5;5;4;
MACAPA;AP;;;22;1;;C;4;A;A;18;0;5;4;4;5;
MACAPA;AP;;;15;3;;I;5;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;20;2;1;D;4;B;B;18;5;5;5;5;5;
LARANJAL DO JARI;AP;;;19;1;;N;5;A;A;16;0;0;5;5;5;
MACAPA;AP;MACAPA;AP;20;2;1;B;7;A;A;17;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;19;2;1;C;2;A;A;;;;;;;
MACAPA;AP;;;23;1;;B;4;A;A;18;5;5;5;5;5;
SANTANA;AP;SANTANA;AP;18;2;1;B;7;B;A;;;;;;;
MACAPA;AP;;;20;1;;B;10;A;A;;;;;;;
MACAPA;AP;;;18;1;;E;6;A;A;;;;;;;
SANTANA;AP;;;22;1;;B;4;A;A;21;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;21;2;1;B;6;A;A;;;;;;;
MACAPA;AP;;;17;3;;B;8;B;A;;;;;;;
MACAPA;AP;;;24;1;;B;4;C;A;18;5;0;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;2;K;4;A;A;;;;;;;
SANTANA;AP;SANTANA;AP;17;2;1;B;4;A;A;;;;;;;
LARANJAL DO JARI;AP;;;18;1;;B;4;A;A;;;;;;;
MACAPA;AP;;;19;1;;B;4;A;A;17;5;1;3;5;5;
LARANJAL DO JARI;AP;;;34;1;;D;4;A;C;18;5;0;5;5;5;
MACAPA;AP;;;31;1;;C;6;A;A;18;0;5;4;4;5;
SANTANA;AP;;;20;1;;B;6;A;A;;;;;;;
MACAPA;AP;;;15;3;;F;5;A;A;;;;;;;
SANTANA;AP;SANTANA;AP;20;2;1;B;8;A;A;16;5;5;5;5;5;
SANTANA;AP;;;27;4;;C;5;A;E;19;5;5;5;5;5;
AMAPA;AP;;;18;1;;C;5;A;A;;;;;;;
MACAPA;AP;;;46;1;;C;4;A;A;21;5;5;5;2;5;
MACAPA;AP;;;20;1;;B;7;B;A;19;5;0;5;5;5;
MACAPA;AP;;;19;1;;F;5;A;A;;;;;;;
VITORIA DO JARI;AP;VITORIA DO JARI;AP;37;2;1;B;4;C;A;15;5;5;5;5;5;
SANTANA;AP;;;20;1;;B;6;A;A;;;;;;;
MACAPA;AP;;;22;1;;B;8;A;A;;;;;;;
MACAPA;AP;;;22;1;;D;3;A;A;15;4;0;5;5;4;
MACAPA;AP;;;34;1;;B;5;A;A;18;0;5;0;5;0;
MACAPA;AP;SANTANA;AP;18;2;1;B;9;A;A;;;;;;;
MACAPA;AP;;;15;3;;H;4;A;A;;;;;;;
OIAPOQUE;AP;;;23;1;;E;6;A;A;15;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;2;I;5;A;A;;;;;;;
SANTANA;AP;;;29;1;;O;8;A;A;21;5;2;5;5;3;
SANTANA;AP;;;27;1;;C;9;A;A;20;5;4;5;5;4;
MACAPA;AP;;;20;1;;I;3;A;A;;;;;;;
MACAPA;AP;;;35;1;;B;6;A;A;;;;;;;
MACAPA;AP;;;26;1;;C;1;A;A;15;5;5;1;5;5;
MACAPA;AP;;;17;3;;B;6;B;A;;;;;;;
MACAPA;AP;;;20;1;;B;3;B;A;18;5;2;5;5;5;
SERRA DO NAVIO;AP;;;20;1;;E;6;A;A;;;;;;;
MACAPA;AP;;;19;1;;B;5;A;A;18;5;2;5;5;5;
SANTANA;AP;;;22;1;;C;5;A;A;16;5;3;5;0;5;
SANTANA;AP;;;22;1;;C;8;A;A;17;5;0;3;5;3;
