NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ARIQUEMES;RO;;;15;3;;E;4;A;A;;;;;;;
ARIQUEMES;RO;;;18;1;;C;5;A;A;14;0;0;5;5;5;
JARU;RO;;;15;3;;B;5;A;A;;;;;;;
CACOAL;RO;;;39;1;;I;1;A;A;13;5;5;5;0;5;
JI-PARANA;RO;;;26;1;;C;3;A;A;15;5;5;5;5;5;
PORTO VELHO;RO;;;19;1;;B;5;A;A;15;4;0;4;5;5;
CACOAL;RO;;;28;4;;C;4;A;E;16;3;5;5;5;5;
PORTO VELHO;RO;;;18;3;;E;6;A;A;;;;;;;
JI-PARANA;RO;;;31;1;;G;4;A;A;19;5;5;5;5;5;
PORTO VELHO;RO;;;18;3;;G;4;A;A;;;;;;;
ROLIM DE MOURA;RO;;;20;1;;B;3;B;A;18;5;0;5;5;5;
PORTO VELHO;RO;;;38;1;;C;4;A;B;18;2;5;5;5;5;
JI-PARANA;RO;;;32;1;;E;5;E;A;25;4;5;3;5;5;
BURITIS;RO;;;20;1;;B;4;A;A;18;2;4;3;3;2;
CACOAL;RO;;;33;1;;C;1;E;A;13;4;0;5;5;5;
JARU;RO;;;20;1;;D;4;A;A;14;3;5;5;5;5;
BURITIS;RO;BURITIS;RO;39;2;1;B;3;E;A;25;5;5;5;5;5;
CACOAL;RO;;;43;4;;G;4;A;E;15;5;5;5;5;0;
PORTO VELHO;RO;;;27;1;;C;3;A;A;18;5;0;5;5;2;
MACHADINHO D OESTE;RO;;;33;1;;C;5;B;A;16;5;5;5;5;5;
PORTO VELHO;RO;;;43;1;;B;2;A;E;17;0;3;5;4;5;
PORTO VELHO;RO;;;18;3;;B;2;A;B;14;5;5;2;5;4;
ARIQUEMES;RO;;;31;1;;C;4;A;A;24;0;5;0;5;0;
ROLIM DE MOURA;RO;;;39;1;;F;5;A;A;25;3;5;5;5;5;
ROLIM DE MOURA;RO;;;33;1;;B;3;B;A;20;3;5;5;5;5;
CACOAL;RO;;;27;1;;B;1;B;B;25;0;0;5;5;0;
VILHENA;RO;VILHENA;RO;20;2;1;B;2;A;A;13;1;4;5;5;5;
THEOBROMA;RO;;;24;1;;B;2;A;A;20;0;5;2;2;2;
GUAJARA-MIRIM;RO;;;15;3;;B;2;A;A;;;;;;;
PORTO VELHO;RO;;;18;1;;B;2;A;A;16;5;0;5;5;5;
ESPIGAO D OESTE;RO;;;22;1;;C;2;A;A;19;5;0;5;5;5;
PORTO VELHO;RO;;;30;1;;B;3;A;A;22;5;5;2;3;2;
PORTO VELHO;RO;;;38;1;;K;2;A;A;17;4;0;5;3;3;
PORTO VELHO;RO;;;18;1;;C;2;A;A;16;5;0;0;5;5;
CACOAL;RO;;;24;4;;B;2;E;A;16;0;5;1;5;0;
SAO MIGUEL DO GUAPORE;RO;;;29;1;;C;1;A;E;13;5;2;5;5;3;
MIRANTE DA SERRA;RO;;;47;1;;C;4;A;A;24;0;5;5;5;5;
PORTO VELHO;RO;;;18;1;;G;4;A;A;;;;;;;
JI-PARANA;RO;;;20;1;;F;5;A;A;15;5;0;5;5;5;
VILHENA;RO;;;17;4;;F;4;A;A;;;;;;;
CACOAL;RO;;;18;1;;B;2;A;A;13;5;0;5;5;0;
ALVORADA D OESTE;RO;ALVORADA D OESTE;RO;19;2;1;D;2;A;A;16;4;0;5;5;3;
PORTO VELHO;RO;;;29;1;;B;4;A;B;17;5;5;5;5;5;
