NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ARRAIAS;TO;;;27;1;;B;6;B;B;14;5;0;5;5;5;
SANDOLANDIA;TO;;;16;3;;C;4;A;A;;;;;;;
PALMAS;TO;;;23;1;;B;1;A;A;17;5;0;5;5;5;
XAMBIOA;TO;XAMBIOA;TO;18;2;1;F;3;A;A;;;;;;;
FILADELFIA;TO;;;26;1;;B;2;A;A;18;5;4;5;5;5;
XAMBIOA;TO;;;23;1;;C;3;A;A;14;5;5;5;5;5;
PALMAS;TO;;;22;1;;B;5;A;A;15;5;0;5;5;5;
PARAISO DO TOCANTINS;TO;;;22;1;;C;3;A;A;;;;;;;
PALMAS;TO;;;44;1;;I;3;A;A;18;4;5;4;4;4;
PALMAS;TO;PALMAS;TO;17;2;1;B;4;A;A;;;;;;;
ARAGUAINA;TO;;;15;3;;B;7;A;A;;;;;;;
CRISTALANDIA;TO;;;26;1;;B;5;A;B;14;2;0;5;5;1;
LAGOA DA CONFUSAO;TO;;;18;1;;B;3;A;A;13;5;0;5;5;3;
PALMAS;TO;;;18;3;;N;4;A;A;;;;;;;
CACHOEIRINHA;TO;CACHOEIRINHA;TO;22;2;1;A;4;A;E;18;2;5;5;5;4;
PALMAS;TO;;;16;3;;F;5;A;A;;;;;;;
PALMAS;TO;;;16;3;;C;3;A;A;;;;;;;
PALMAS;TO;;;25;1;;B;2;B;A;16;0;5;5;5;5;
PONTE ALTA DO TOCANTINS;TO;PONTE ALTA DO TOCANTINS;TO;19;2;1;B;4;A;A;;;;;;;
ARAGUAINA;TO;;;38;1;;D;3;B;A;19;1;5;5;5;0;
PALMAS;TO;;;21;1;;C;2;A;A;20;0;0;5;5;5;
PORTO NACIONAL;TO;;;17;3;;B;5;A;A;;;;;;;
PORTO NACIONAL;TO;;;16;3;;I;5;A;A;;;;;;;
NATIVIDADE;TO;;;44;1;;C;4;A;A;18;0;5;4;4;0;
GURUPI;TO;;;16;3;;K;3;A;A;;;;;;;
PARAISO DO TOCANTINS;TO;;;21;1;;B;7;A;A;18;4;0;5;5;5;
MIRACEMA DO TOCANTINS;TO;MIRACEMA DO TOCANTINS;TO;19;2;1;E;2;A;A;16;5;0;5;5;0;
PAU D ARCO;TO;FLORESTA DO ARAGUAIA;PA;22;2;1;B;4;A;A;;;;;;;
PALMAS;TO;;;18;3;;F;5;A;A;;;;;;;
PALMAS;TO;;;18;1;;G;4;A;A;;;;;;;
GUARAI;TO;GUARAI;TO;18;2;1;C;5;A;A;;;;;;;
ARAGUAINA;TO;;;17;1;;K;4;A;A;;;;;;;
SAO FELIX DO TOCANTINS;TO;SAO FELIX DO TOCANTINS;TO;21;2;1;C;6;B;B;18;5;5;5;5;5;
ARAGUAINA;TO;;;39;1;;D;5;A;B;25;3;5;5;5;4;
PALMAS;TO;;;21;1;;C;4;A;A;17;0;5;4;3;5;
XAMBIOA;TO;;;19;1;;E;5;A;A;;;;;;;
PONTE ALTA DO TOCANTINS;TO;;;17;3;;C;5;A;A;14;5;4;5;3;5;
COLINAS DO TOCANTINS;TO;;;24;1;;B;6;A;A;18;5;5;5;0;1;
PALMAS;TO;PALMAS;TO;29;2;2;G;4;A;E;20;2;5;5;5;5;
PALMAS;TO;;;21;1;;B;7;A;A;17;5;0;5;5;5;
PALMAS;TO;;;20;1;;E;4;A;A;18;5;3;5;5;5;
